loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
719502.1820327714,369.7950134277344,719502.25,1026.0781650108195,25.838760375976562,1026.078125
1474.2002091772763,29.669876098632812,1474.2000732421875,919.760407850318,22.856191635131836,919.7603759765625
819.5357069586249,21.814661026000977,819.5357055664062,722.5826489206148,20.418777465820312,722.5827026367188
724.8909599003688,20.34688949584961,724.8909301757812,655.1489344493042,19.328393936157227,655.14892578125
650.1166074327831,19.278959274291992,650.1165161132812,570.7162184402463,18.371131896972656,570.7161865234375
542.9333585583273,17.66779899597168,542.933349609375,468.0799453272529,16.36089324951172,468.0799560546875
481.7034278111623,16.282819747924805,481.70343017578125,419.30039448831155,15.023741722106934,419.3004150390625
427.48805677267046,15.122176170349121,427.488037109375,374.46687095529074,14.064813613891602,374.4668884277344
394.1857545237062,14.371870994567871,394.18572998046875,369.27058899657686,13.839738845825195,369.2705993652344
369.28314355023815,13.848729133605957,369.28314208984375,328.51100019127125,12.93342113494873,328.510986328125
343.70977913813334,13.280919075012207,343.7097473144531,352.1862068884854,13.422303199768066,352.18621826171875
413.17887415002895,14.777813911437988,413.17889404296875,329.9894390236258,13.101774215698242,329.9894104003906
338.5109771638811,13.159357070922852,338.510986328125,304.9606433745527,12.469415664672852,304.96063232421875
316.9525322521104,12.64406967163086,316.9525146484375,300.7415695567146,12.239956855773926,300.7416076660156
309.18155135435615,12.418763160705566,309.1815490722656,288.25455204514986,12.080499649047852,288.2545166015625
303.75910874893214,12.373577117919922,303.7591247558594,296.3457042659111,12.287909507751465,296.345703125
309.34557485429065,12.427220344543457,309.3455505371094,285.0086221235263,11.971674919128418,285.00860595703125
318.1721314714489,12.633536338806152,318.172119140625,311.6283325224015,12.49952220916748,311.6283264160156
310.2268223676732,12.408883094787598,310.2268371582031,294.4843323629322,12.197611808776855,294.4843444824219
303.00965455249786,12.250028610229492,303.0096740722656,264.8726091454401,11.373942375183105,264.8725891113281
284.1085609467432,11.732317924499512,284.1084899902344,284.606710534866,11.697779655456543,284.606689453125
283.66116657021604,11.764817237854004,283.6611633300781,288.50785571828663,12.035255432128906,288.50787353515625
286.70494861277604,11.820825576782227,286.7049560546875,260.33005728005185,11.272855758666992,260.3300476074219
270.10175923701246,11.426105499267578,270.1017761230469,275.34062092931526,11.324735641479492,275.3406066894531
275.6540615218587,11.50003719329834,275.6540832519531,272.68701102272246,11.673901557922363,272.6869812011719
281.9521956114682,11.6483736038208,281.95220947265625,308.7757899582372,12.46905517578125,308.7757873535156
284.00735978491514,11.671110153198242,284.00738525390625,257.81070763583244,11.270109176635742,257.81072998046875
283.03361463866327,11.700056076049805,283.0335998535156,269.55739750112053,11.484222412109375,269.5574035644531
261.4948355861442,11.128937721252441,261.49481201171875,249.77542051471823,10.99361801147461,249.77542114257812
258.2343312635203,11.09358024597168,258.23431396484375,249.4844382380475,10.788652420043945,249.4844207763672
270.5585075006143,11.307180404663086,270.5585021972656,244.6775824436714,10.678921699523926,244.67758178710938
267.90754512941606,11.226609230041504,267.9075622558594,242.7013004499409,10.638649940490723,242.70127868652344
253.2375904332183,10.890022277832031,253.23756408691406,257.16467648956205,11.18627643585205,257.1646728515625
254.35274026681225,10.917226791381836,254.35276794433594,251.67861548127104,10.764544486999512,251.67860412597656
